Course,AE,AS,BME,BSE PT,CE,CS,SE,EE,IE,ME A,ME,MIS,NU,UX
BA1220,,2,,,,,,,1,,,,,
BA2220,,,,,2,1,,3,,,,,,
BA2222,,3,,,,,,,,,,,,
BA2331,,1,,1,,,,,,,,,,
BA2501,,1,,1,,,,,,,,,,
BA3423,,,,,3,,,,,,,,,
BA3411,,,,,1,,,,,,,,,
BA3444,,,,,,3,3,,,,,,,
BI102,,,1,,,,,,,,,,,
CH200,2,,2,2,,,1,1,,,,,,
CH201,3,,3,3,,,,,,,,,,
CS1011,,,,,1,1,1,,,,,,,
CS1021,,,,,2,2,2,,,,,,,
CS2040,,,,,,3,3,,,,,,,
CS2300,,,,,,2,,,,,,,,
CS2400,,,,,,3,,,,,,,,
CS2711,,,,,,2,2,,,,,,,
CS2852,,,,,3,3,3,,,,,,,
CS2911,,,,,,1,1,,,,,,,
CS3040,,,,,,1,,,,,,,,
CS3300,,,,,,2,,,,,,,,
CS3310,,,,,,3,,,,,,,,
CS3400,,,,,,1,,,,,,,,
CS3840,,,,,,2,2,,,,,,,
CS3851,,,,,,3,3,,,,,,,
CS3860,,,,,,1,1,,,,,,,
CS3450,,,,,,3,,,,,,,,
CS4920,,,,,3,,,,,,,,,
CS4000,,,,,,1,,,,,,,,
CS4010,,,,,,2,,,,,,,,
CS4020,,,,,,3,,,,,,,,
GS1001,,,,,1,1,1,,,,,,,
GS1002,,,,3,2,2,2,,,,,,,
GS1003,,,,1,3,3,3,,,,,,,
HU432,,1,,2,3,2,3,3,2,,,1,,
HU489,,,,,,,,,,,,,,3
IE423,,,,2,,,2,3,2,1,,,,
MA136,1,,1,2,1,1,1,1,,,,,,
MA137,2,,2,3,2,2,2,2,,,,,,
MA2314,3,,3,1,3,3,3,3,,,,,,
MA2323,1,1,2,3,2,1,,2,,,,,,
MA235,2,3,1,2,,,,1,,,,,,
MA2310,,,,,1,1,1,,,,,,,
MA2320,,2,,,,,,,,,,,,
MA262,3,,2,,,1,3,2,1,2,2,,,
MA330,,2,,2,,,,,,,,,,
MA3320,,,,,,2,2,,,,,,,
MA343,,3,,,,,,,,,,,,
MA380,,1,,,,,,,,,,,,
MA383,,,,,2,3,3,3,,2,1,,,
MA390,,2,,,,,,,,,,,,
OR402,,,,,,2,1,,,,,,2,
PH2011,1,3,2,,1,2,2,1,,3,3,,,
PH2021,1,,3,,2,3,3,2,1,1,1,,,
PH2031,2,,,,,,,3,,,,,,
SE2030,,,,,3,1,1,,,,,,,
SE2800,,,,,,3,3,,,,,,,
SE2811,,,,,,2,2,,,,,,,
SE2832,,,,,,,3,,,,,,,
SE2840,,,,,,2,2,,,,,,,
SE3010,,,,,,,1,,,,,,,
SE3020,,,,,,,2,,,,,,,
SE3030,,,,,,,3,,,,,,,
SE3800,,,,,,,1,,,,,,,
SE3810,,,,,,,2,,,,,,,
SE3821,,,,,,,1,,,,,,,
SE3910,,,,,,,1,,,,,,,
SE4000,,,,,,,1,,,,,,,
SE4010,,,,,,,2,,,,,,,
SE4020,,,,,,,3,,,,,,,
SS460,,,,,,,,,,,,,1,2
SS462,,,,,,,,,,,,,1,3
SS463,,,,,,,,,,,,,,1
SS464,,,,,,,,,,,,,,1
SS467,,,,,,,,,,,,,,
SS492,,,,,,,,,,,,,,2
TC321,,,,,,,,,,,,,,2
UX1400,,,,,,,,,,,,,,1
UX172,,,,,,,,,,,,,,1
UX242,,,,,,,,,,,,,,2
UX253,,,,,,,,,,,,,,1
UX254,,,,,,,,,,,,,,
UX255,,,,,,,,,,,,,,
UX333,,,,,,,,,,,,,,1
UX361,,,,,,,,,,,,,,1
