Course,Credits,Prereqs,Description
BI1010,3,,Human Anatomy and Physiology I
BI102,4,,Cell Biology and Genetics
BI1020,4,BI1010,Human Anatomy and Physiology II
BI1030,4,BI1010,Human Anatomy and Physiology III
BI2020,4,BI102 CH223,Cellular Microbiology
BI2040,4,BI1010,Human Anatomy and Physiology IV
BI2305,4,BI102 CH200,Physiology I
BI2315,3,BI2305,Physiology II
BI256,4,BI1010,Microbiology
BI499,3,IC,Life Science Independent Study
BA1220,3,,Microeconomics
BA2220,3,,Foundations of Business Economics
BA2222,3,BA1220,Macroeconomics
BA2331,3,,Business Law
BA2401,3,JR,Project Management
BA2440,3,BA1220|BA2220|BA2222|IE423,Production Management
BA2442,3,,Management
BA2501,3,,Finance I
BA2661,3,,Marketing
BA3411,3,SO,Leading Project Teams
BA3423,3,SO,Innovation and Business Markets
BA3444,3,SO,Organizational Behavior and Leadership
BA3801,3,,Continuous Improvement I
BA4330,3,JR,Legal Aspects of Innovation and Entrepreneurship:
BA4520,3,,Investment and Portfolio Analysis
BA4530,3,JR,Personal Finance & Planning
BA4970,3,JR,Practicum in Entrepreneurship
CE1901,4,,Digital Logic 1
CE1911,4,CE1901,Digital Logic 2
CE1921,4,CE1911,Computer Architecture
CE2801,4,CS1011|SE1011 CE1901,Embedded Systems I
CE2812,4,CE2801 CS1011|SE1011,Embedded Systems II
CE2820,4,CE2812,Embedded Systems III
CE3101,4,EE2050,Digital Electronics and Computer Interfacing
CE3200,3,CE2812|EE2930,Wireless Sensor Networks
CE4951,4,MA262 CE2812|EE2931,Networking I
CE4961,4,CS3841,Networking II
CE4000,3,JR,Senior Design Project I
CE4010,3,JR,Senior Design Project II
CE4020,3,JR,Senior Design Project III
CE498,3,IC,Topics in Computer Engineering
CH200,4,,Chemistry I
CH200A,4,,Chemistry I
CH201,4,CH200,Chemistry II
CH222,3,CH200,Organic Chemistry I
CH223,4,CH222,Biochemistry
CH302,3,CH201,Chemistry III
CH3020,3,CH200|CH2050|CH103,Chemistry III
CH303,3,CH302,Chemistry III Lab
CH322,3,CH222 CH223,Organic Chemistry II
CH323,2,CH322,Organic Chemistry II Lab
CH353,3,CH200 JR,Fundamentals of Environmental Chem
CH3650,3,CH200 PH2031,Materials Chemistry
CH3660,3,CH200 PH2031,Surface Properties of Materials
CH3670,3,CH200,Polymer Chemistry
CH371,3,CH200,Modern Biotechnology
CH373,3,CH200,Advanced Biotechnology
CH401,3,IC,Topics in Chemistry
CH499,3,IC,Independent Study
CS1011,4,,Software Development I
CS1021,4,CS1011|SE1011,Software Development II
CS2040,4,CS2852,Programming in C and C++
CS2300,4,CS1021|SE1021,Computational Science
CS2400,3,CS2852 CS2300 MA2310,Introduction to Artificial Intelligence
CS2711,4,CS1011|SE1011,Computer Organization
CS2852,4,CS1021|SE1021,Data Structures
CS2911,4,CS1011|SE1011,Network Protocols
